rank,Artist,Title,Image URL,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_sec,time_signature,Preview URL
1,YOASOBI,アイドル,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c,2023-04-12,84,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07E-06,0.367,0.836,166.008,213234,213.234,4,https://p.scdn.co/mp3-preview/3cf6efcc13a380485fa20fda1602b8ad4e3f0b0c?cid=133ab60d36dd449d94af25689ddde7ed
2,OFFICIAL HIGE DANDISM,Subtitle,https://i.scdn.co/image/ab67616d0000b273d69b54199b7773b97a57a196,2022-10-12,76,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.00E+00,0.118,0.381,130,305509,305.509,4,https://p.scdn.co/mp3-preview/cff6c39aef4b49848e7f59c689469c8db0f00997?cid=133ab60d36dd449d94af25689ddde7ed
3,Jung Kook,Seven,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14,97,0.802,0.832,11,-4.107,1,0.0434,0.311,0.00E+00,0.0815,0.89,124.997,185427,185.427,4,https://p.scdn.co/mp3-preview/2f2b3f4eaf405ac3ba9792456cec93ae88942cfc?cid=133ab60d36dd449d94af25689ddde7ed
4,BTS,Butter,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2021-06-04,73,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.00E+00,0.0906,0.695,109.997,164442,164.442,4,https://p.scdn.co/mp3-preview/4d63fe1638aa41592706f835bd076443b09d8afa?cid=133ab60d36dd449d94af25689ddde7ed
5,Mariah Carey,All I Want for Christmas Is You,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,1994-10-28,84,0.336,0.627,7,-7.463,1,0.0384,0.164,0.00E+00,0.0708,0.35,150.273,241107,241.107,4,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=133ab60d36dd449d94af25689ddde7ed
6,Kenshi Yonezu,KICK BACK,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,2022-10-12,81,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36E-06,0.0891,0.292,101.921,193495,193.495,4,https://p.scdn.co/mp3-preview/003a7a062f469db238cf5206626f08f3263c68e6?cid=133ab60d36dd449d94af25689ddde7ed
7,Ado,新時代,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,2022-08-09,73,0.49,0.987,7,-2.279,1,0.253,0.049,3.24E-06,0.406,0.451,175.064,226813,226.813,4,
8,Ado,唱,https://i.scdn.co/image/ab67616d0000b273985fe71d6d5d528429037716,2023-09-06,82,0.616,0.975,10,-0.425,0,0.208,0.172,1.62E-06,0.143,0.742,132.054,189773,189.773,4,
9,Yuuri,ドライフラワー,https://i.scdn.co/image/ab67616d0000b2732a89f91a19c16e94ba441132,2020-10-25,67,0.463,0.624,7,-5.118,1,0.0274,0.426,0.00E+00,0.221,0.521,147.929,285587,285.587,4,https://p.scdn.co/mp3-preview/f9885e1c484280495e25f2882f7ecb5492de0ce0?cid=133ab60d36dd449d94af25689ddde7ed
10,BTS,Permission to Dance,https://i.scdn.co/image/ab67616d0000b273a7e481899b7e0396f93d10b8,2021-07-23,77,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.00E+00,0.337,0.646,124.925,187585,187.585,4,https://p.scdn.co/mp3-preview/d4eb140d131417cc1526bb791f0383eef18cf6da?cid=133ab60d36dd449d94af25689ddde7ed
11,King Gnu,SPECIALZ,https://i.scdn.co/image/ab67616d0000b273ef96f1d50c9562c321ef207e,2023-09-01,86,0.566,0.85,6,-4.431,0,0.0599,0.0663,0.00E+00,0.319,0.722,117.048,238987,238.987,4,https://p.scdn.co/mp3-preview/82e442871e6afd7efa4410ca735b3b13644f5184?cid=133ab60d36dd449d94af25689ddde7ed
12,Ado,新時代 - ウタ from ONE PIECE FILM RED,https://i.scdn.co/image/ab67616d0000b273f24f7db074ee5a9042ecb9a2,2022-06-08,67,0.494,0.986,7,-2.262,1,0.243,0.0505,4.41E-06,0.334,0.421,175.003,228214,228.214,4,
13,back number,クリスマスソング,https://i.scdn.co/image/ab67616d0000b27359a14a1d53eb5610f84c8382,2015-12-09,66,0.404,0.705,4,-3.324,1,0.0315,0.128,0.00E+00,0.123,0.42,154.02,340080,340.08,4,
14,BTS,Dynamite,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,2020-11-20,83,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.00E+00,0.0936,0.737,114.044,199054,199.054,4,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=133ab60d36dd449d94af25689ddde7ed
15,LiSA,炎,https://i.scdn.co/image/ab67616d0000b273e0dc47dd1584c66ad4492094,2020-10-12,65,0.477,0.685,2,-4.554,1,0.0325,0.105,0.00E+00,0.277,0.308,152.04,275000,275,4,https://p.scdn.co/mp3-preview/dac115f1d54820a7b1f7591f2cdd1576bf840b14?cid=133ab60d36dd449d94af25689ddde7ed
16,natori,Overdose,https://i.scdn.co/image/ab67616d0000b273d29582617459e5bb81bd90a6,2022-09-07,79,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.70E-05,0.218,0.831,118.012,197094,197.094,4,https://p.scdn.co/mp3-preview/aba42c9d80b1af30f96f21290fe6ab022a7d5566?cid=133ab60d36dd449d94af25689ddde7ed
17,Ado,逆光,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,2022-08-09,66,0.564,0.896,10,-3.875,0,0.108,0.000387,8.17E-06,0.374,0.713,145.023,237667,237.667,4,
18,OFFICIAL HIGE DANDISM,TATTOO,https://i.scdn.co/image/ab67616d0000b273c40dd206a9ec33515dd7e1ea,2023-04-21,74,0.481,0.901,0,-5.629,1,0.163,0.0114,0.00E+00,0.314,0.817,194.084,288100,288.1,4,https://p.scdn.co/mp3-preview/efc041b82d305f7bdd571809a154384311a79916?cid=133ab60d36dd449d94af25689ddde7ed
19,Awesome City Club,勿忘,https://i.scdn.co/image/ab67616d0000b2738e9f0ab71e21b620054ab1d7,2021-01-27,58,0.448,0.447,6,-7.161,0,0.045,0.234,0.00E+00,0.382,0.299,78.861,251533,251.533,4,https://p.scdn.co/mp3-preview/da1cd6c848ef36f7c279529b987df6f7a646ef0b?cid=133ab60d36dd449d94af25689ddde7ed
20,Mrs. GREEN APPLE,ケセラセラ,https://i.scdn.co/image/ab67616d0000b2733d8f3769878ebe234fe88acb,2023-04-25,67,0.757,0.58,6,-4.574,0,0.0328,0.029,0.00E+00,0.0367,0.698,115.01,272965,272.965,4,
21,YOASOBI,勇者,https://i.scdn.co/image/ab67616d0000b273a9f9b6f07b43009f5b0216dc,2023-09-29,77,0.641,0.887,5,-4.665,1,0.0443,0.047,1.36E-05,0.171,0.501,104.015,194164,194.164,4,https://p.scdn.co/mp3-preview/a826b8afa08d7aefe2fa33936591936e507e248e?cid=133ab60d36dd449d94af25689ddde7ed
22,King Gnu,一途,https://i.scdn.co/image/ab67616d0000b273681dedf478b2dde1a5b5ae4e,2021-12-10,74,0.5,0.964,2,-4.19,1,0.124,0.00723,6.20E-05,0.0557,0.662,159.971,190607,190.607,4,https://p.scdn.co/mp3-preview/0f8da0c37bf9fa93295d2d95e8a4d9f570c058bb?cid=133ab60d36dd449d94af25689ddde7ed
23,Aimer,残響散歌,https://i.scdn.co/image/ab67616d0000b27310179936604a42f16280835e,2021-12-06,73,0.367,0.896,11,-4.002,1,0.091,0.000627,0.00E+00,0.207,0.38,170.863,184893,184.893,4,https://p.scdn.co/mp3-preview/3061d9bf1be9150ed8b1ddd51d3cc2d8f9d81b33?cid=133ab60d36dd449d94af25689ddde7ed
24,Tani Yuuki,W / X / Y,https://i.scdn.co/image/ab67616d0000b27383298b2cf7172608f01c9c00,2021-05-26,62,0.478,0.777,2,-4.48,1,0.0753,0.155,0.00E+00,0.327,0.671,103.832,279100,279.1,3,https://p.scdn.co/mp3-preview/ff8d49624c5e1afd2df1c4bc7c3efa043bd67e69?cid=133ab60d36dd449d94af25689ddde7ed
25,King Gnu,逆夢,https://i.scdn.co/image/ab67616d0000b273f8f6a8981cd203c7ed997cdc,2021-12-24,72,0.204,0.708,1,-5.425,1,0.0458,0.442,0.00E+00,0.319,0.278,83.443,307667,307.667,4,https://p.scdn.co/mp3-preview/b3d5ae8375ca43c2d7cd73bace1216cb048633e4?cid=133ab60d36dd449d94af25689ddde7ed
26,Eito,香水,https://i.scdn.co/image/ab67616d0000b2738c619e91247463929b384517,2019-04-21,52,0.848,0.352,3,-6.838,1,0.041,0.824,0.00E+00,0.0906,0.776,121.833,252594,252.594,4,https://p.scdn.co/mp3-preview/db4513c54f887bac96c2dc644693469b21d9421d?cid=133ab60d36dd449d94af25689ddde7ed
27,Yuuri,ベテルギウス,https://i.scdn.co/image/ab67616d0000b273de89a1778479397bc993ba10,2021-11-04,65,0.432,0.68,5,-4.839,1,0.0431,0.199,0.00E+00,0.481,0.685,180.002,230394,230.394,4,https://p.scdn.co/mp3-preview/2afa4c2e19e4418d137d47fdeb2a6c245d2ddb77?cid=133ab60d36dd449d94af25689ddde7ed
28,Hikaru Utada,One Last Kiss,https://i.scdn.co/image/ab67616d0000b2735d998a6de7354d31ce48941b,2021-03-09,63,0.592,0.54,8,-11.249,0,0.0587,0.692,1.87E-03,0.0965,0.354,111.955,252027,252.027,4,https://p.scdn.co/mp3-preview/2bc09661a680442e18bbfdff6542888b8d691a79?cid=133ab60d36dd449d94af25689ddde7ed
29,YOASOBI,怪物,https://i.scdn.co/image/ab67616d0000b273f609c79794752ed7ee0976b5,2021-01-06,72,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57E-05,0.31,0.774,169.935,206000,206,4,https://p.scdn.co/mp3-preview/96cebe738c751210423c1cef1d40b9320e820484?cid=133ab60d36dd449d94af25689ddde7ed
30,SEKAI NO OWARI,silent,https://i.scdn.co/image/ab67616d0000b27310354f6fdbd6babda0d4d381,2020-10-21,58,0.43,0.62,0,-5.274,1,0.0419,0.434,0.00E+00,0.209,0.424,176.14,308921,308.921,4,
31,Mrs. GREEN APPLE,ダンスホール,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,2022-05-23,78,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.00E+00,0.0517,0.784,109.976,203150,203.15,4,
32,BTS,Yet To Come,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49,2022-06-10,75,0.559,0.885,1,-4.515,1,0.189,0.0432,0.00E+00,0.333,0.683,172.029,193594,193.594,4,https://p.scdn.co/mp3-preview/4cf5bfb6edab3acf59f370972492b813e2b07d60?cid=133ab60d36dd449d94af25689ddde7ed
33,OFFICIAL HIGE DANDISM,ミックスナッツ,https://i.scdn.co/image/ab67616d0000b273e4432f106a0ca7a2088fbb3d,2022-04-15,69,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.00E+00,0.259,0.784,150.094,213438,213.438,4,https://p.scdn.co/mp3-preview/29835f60d950690479753cf1c8c5009b57ae5670?cid=133ab60d36dd449d94af25689ddde7ed
34,King Gnu,カメレオン,https://i.scdn.co/image/ab67616d0000b2736e73d28366be9eef6ddb8526,2022-02-28,73,0.628,0.533,0,-7.235,1,0.0417,0.643,0.00E+00,0.0733,0.459,79.953,193990,193.99,4,https://p.scdn.co/mp3-preview/fd192465c244dc12aa502d927a3a9bd8f975e622?cid=133ab60d36dd449d94af25689ddde7ed
35,Saucy Dog,シンデレラボーイ,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3,2021-08-25,74,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.00E+00,0.269,0.524,108.106,234324,234.324,4,https://p.scdn.co/mp3-preview/34cf86f5a6f65900f2c456a57c41fad12aadff36?cid=133ab60d36dd449d94af25689ddde7ed
36,shy taupe,ランデヴー,https://i.scdn.co/image/ab67616d0000b2737be39390242138544d9f9298,2023-04-25,78,0.497,0.649,2,-4.76,1,0.0325,0.117,0.00E+00,0.17,0.317,146.056,237740,237.74,4,https://p.scdn.co/mp3-preview/d1b3a19e939a77f719d1f9485fafa96f405e1105?cid=133ab60d36dd449d94af25689ddde7ed
37,Mrs. GREEN APPLE,Magic,https://i.scdn.co/image/ab67616d0000b273dd993255f8698b314462ee2a,2023-06-13,69,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.00E+00,0.332,0.537,117.51,263107,263.107,4,
38,NewJeans,Super Shy,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07,92,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44E-05,0.146,0.515,149.921,154667,154.667,4,https://p.scdn.co/mp3-preview/dab062e2cc708a2680ce84953a3581c5a679a230?cid=133ab60d36dd449d94af25689ddde7ed
39,NiziU,Take a picture,https://i.scdn.co/image/ab67616d0000b273adbfb113986c8db7fc716531,2021-03-29,49,0.736,0.871,1,-4.139,1,0.0577,0.0504,8.31E-04,0.313,0.739,127.945,181347,181.347,4,https://p.scdn.co/mp3-preview/c3fb1994f899b5ce716909cccc326807fe0e14ad?cid=133ab60d36dd449d94af25689ddde7ed
40,SEKAI NO OWARI,Habit,https://i.scdn.co/image/ab67616d0000b2733e94f2b2c3303120be19210b,2022-04-28,69,0.749,0.85,10,-5.39,0,0.126,0.203,0.00E+00,0.18,0.912,117.968,253154,253.154,4,
41,SUDA MASAKI,虹,https://i.scdn.co/image/ab67616d0000b273179b92192479bf38feea842b,2020-11-10,63,0.548,0.6,5,-5.049,1,0.0297,0.071,0.00E+00,0.192,0.296,143.961,258733,258.733,4,https://p.scdn.co/mp3-preview/3f5e559606b578bcb986bfb2c758a0d7fec62f13?cid=133ab60d36dd449d94af25689ddde7ed
42,Wham!,Last Christmas,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d,1984-11-29,81,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,262960,262.96,4,https://p.scdn.co/mp3-preview/5c6b42e86dba5ec9e8346a345b3a8822b2396d3f?cid=133ab60d36dd449d94af25689ddde7ed
43,YOASOBI,群青,https://i.scdn.co/image/ab67616d0000b2735235b1b2b4feb3783e12a434,2020-09-01,68,0.719,0.87,10,-3.073,1,0.0472,0.321,0.00E+00,0.187,0.732,134.979,248444,248.444,4,https://p.scdn.co/mp3-preview/e9987555727fcb076e3fdda13466d2d7ae83e868?cid=133ab60d36dd449d94af25689ddde7ed
44,BTS,Film out,https://i.scdn.co/image/ab67616d0000b27334938530af5d2d98acf174fc,2021-04-01,68,0.499,0.709,10,-6.404,1,0.134,0.296,0.00E+00,0.331,0.314,164.032,214621,214.621,4,
45,NewJeans,Ditto,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,2022-12-19,85,0.814,0.641,6,-5.957,0,0.111,0.027,0.00E+00,0.0993,0.183,133.854,185507,185.507,4,https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=133ab60d36dd449d94af25689ddde7ed
46,Kenshi Yonezu,LADY,https://i.scdn.co/image/ab67616d0000b2731ed02be53f30035e33b20066,2023-03-21,69,0.751,0.55,2,-7.101,1,0.0534,0.28,2.49E-04,0.101,0.867,90.952,207167,207.167,4,https://p.scdn.co/mp3-preview/59e52a2c073f4bca09e8c13105393c6983840940?cid=133ab60d36dd449d94af25689ddde7ed
47,Ado,ウタカタララバイ,https://i.scdn.co/image/ab67616d0000b2730de8c6e47bd55b7c97da1180,2022-08-05,55,0.524,0.914,6,-2.104,1,0.12,0.179,0.00E+00,0.17,0.63,89.015,173373,173.373,4,
48,Ado,Show,https://i.scdn.co/image/ab67616d0000b27333ecf266b384ed36848d11ba,2023-10-17,28,0.616,0.975,10,-0.425,0,0.208,0.172,1.62E-06,0.143,0.742,132.054,189773,189.773,4,
49,Yuuri,ビリミリオン,https://i.scdn.co/image/ab67616d0000b273244cc50310d5e69aab21c327,2023-01-19,65,0.413,0.623,10,-6.223,1,0.0377,0.232,0.00E+00,0.0965,0.629,124.893,226628,226.628,4,https://p.scdn.co/mp3-preview/c352e96f8496a38e3afba25ce576186143bcdc6f?cid=133ab60d36dd449d94af25689ddde7ed
50,Kenshi Yonezu,Pale Blue,https://i.scdn.co/image/ab67616d0000b2738d2713fd9a29d3a7ff90cb5b,2021-05-31,60,0.688,0.457,2,-8.635,1,0.0487,0.206,1.51E-05,0.406,0.445,87.99,296547,296.547,4,https://p.scdn.co/mp3-preview/931388e0595976bf9eb1d2f9716804c16aaac7fc?cid=133ab60d36dd449d94af25689ddde7ed
51,OFFICIAL HIGE DANDISM,I Love...,https://i.scdn.co/image/ab67616d0000b273dc4c6a7160fbc394e4cd683d,2020-02-12,60,0.54,0.706,9,-5.235,1,0.0543,0.0171,0.00E+00,0.225,0.385,172.021,282027,282.027,4,https://p.scdn.co/mp3-preview/c387695f8ee11143d2c8b552e14b0e295411c946?cid=133ab60d36dd449d94af25689ddde7ed
52,HIRAIDAI,"Stand by me, Stand by you.",https://i.scdn.co/image/ab67616d0000b273ac91e053860a1814fc797f2e,2020-09-09,59,0.594,0.568,3,-5.423,1,0.0383,0.0892,0.00E+00,0.0535,0.58,161.887,193013,193.013,4,https://p.scdn.co/mp3-preview/869aca5bc9e42825ad0d4243390656aa6e014a53?cid=133ab60d36dd449d94af25689ddde7ed
53,Ariana Grande,Last Christmas,https://i.scdn.co/image/ab67616d0000b2734d4ae91071fb1e6d30791bf3,2014-12-03,49,0.675,0.733,7,-4.647,1,0.0271,0.123,0.00E+00,0.106,0.807,102.996,203653,203.653,4,
54,OFFICIAL HIGE DANDISM,Cry Baby,https://i.scdn.co/image/ab67616d0000b27337c8ac3d4ade98d669867e73,2021-05-07,59,0.318,0.902,1,-4.605,1,0.131,0.0116,0.00E+00,0.393,0.437,199.844,240285,240.285,4,https://p.scdn.co/mp3-preview/b6ff6d255156da3356e4deca04fd36a9dc2e7ae6?cid=133ab60d36dd449d94af25689ddde7ed
55,back number,水平線,https://i.scdn.co/image/ab67616d0000b2732c34b754c9f4fb50c37e6982,2021-08-13,66,0.419,0.75,10,-3.546,1,0.0316,0.011,0.00E+00,0.159,0.436,145.867,285396,285.396,4,
56,NiziU,Step and a step,https://i.scdn.co/image/ab67616d0000b2735066b2f97da51d28ea71bfaf,2020-11-25,52,0.844,0.851,0,-3.762,1,0.0494,0.184,8.53E-05,0.0754,0.541,116.038,201720,201.72,4,https://p.scdn.co/mp3-preview/1f024544e5bb376743dfc3b43ae164ac76a9893f?cid=133ab60d36dd449d94af25689ddde7ed
57,Fujii Kaze,花,https://i.scdn.co/image/ab67616d0000b27307f90f5ff316503cea8cd5b3,2023-11-02,45,0.684,0.324,3,-10.588,1,0.0292,0.887,2.38E-04,0.105,0.412,122.993,247555,247.555,4,
58,NiziU,Make you happy,https://i.scdn.co/image/ab67616d0000b273fe52879ebfec0050a2aa89ff,2020-06-30,49,0.78,0.885,7,-3.745,1,0.122,0.0436,2.80E-05,0.105,0.808,160.087,184521,184.521,4,https://p.scdn.co/mp3-preview/9642086e7f2ce46d1eb58b47c7899dd5edf49bc5?cid=133ab60d36dd449d94af25689ddde7ed
59,YOASOBI,三原色,https://i.scdn.co/image/ab67616d0000b273d6efeab6484d518ae4b9cfd6,2021-07-02,65,0.443,0.893,5,-3.496,0,0.154,0.128,0.00E+00,0.328,0.826,127.999,224067,224.067,4,https://p.scdn.co/mp3-preview/6b03dc377a7c6e9e3fecc6f148fef22d3e953fe6?cid=133ab60d36dd449d94af25689ddde7ed
60,Kenshi Yonezu,Lemon,https://i.scdn.co/image/ab67616d0000b2735f02011d74e86bf0a88d37a7,2018-03-14,59,0.532,0.661,11,-4.924,1,0.0268,0.366,0.00E+00,0.354,0.446,86.983,256107,256.107,4,https://p.scdn.co/mp3-preview/ea849beede8405ed754c9f7ae5d831aa84e3405d?cid=133ab60d36dd449d94af25689ddde7ed
61,10-FEET,第ゼロ感,https://i.scdn.co/image/ab67616d0000b273884fb7177fe576362b1f6089,2022-11-08,66,0.431,0.954,2,-3.156,1,0.238,4.52E-05,8.26E-06,0.325,0.311,150.043,287991,287.991,4,
62,Kenshi Yonezu,地球儀,https://i.scdn.co/image/ab67616d0000b2739caa7a79ae5f56e02141563b,2023-07-17,76,0.642,0.289,10,-11.86,1,0.0472,0.763,0.00E+00,0.0856,0.282,78.004,273438,273.438,4,https://p.scdn.co/mp3-preview/10737fbef68dfedab3643a5ed9bc60c00d55df46?cid=133ab60d36dd449d94af25689ddde7ed
63,MAN WITH A MISSION,絆ノ奇跡,https://i.scdn.co/image/ab67616d0000b273cb6080eae6c43b7ed1bb44b4,2023-04-10,76,0.436,0.951,7,-4.748,0,0.202,0.0046,0.00E+00,0.149,0.428,169.955,223320,223.32,4,https://p.scdn.co/mp3-preview/c6549abc86f7da1fae4f8348198da78bc21674bf?cid=133ab60d36dd449d94af25689ddde7ed
64,NewJeans,OMG,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,2023-01-02,87,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07E-06,0.108,0.739,126.956,212253,212.253,4,https://p.scdn.co/mp3-preview/b9e344aa96afc45a56df77ca63c78786bdaa0047?cid=133ab60d36dd449d94af25689ddde7ed
65,OFFICIAL HIGE DANDISM,Pretender,https://i.scdn.co/image/ab67616d0000b27376f402d83c2a85e5deca60e7,2019-09-11,66,0.538,0.869,8,-3.464,1,0.0275,0.047,0.00E+00,0.14,0.369,91.972,326843,326.843,4,https://p.scdn.co/mp3-preview/da47863123523107c979c50167778d55610bd613?cid=133ab60d36dd449d94af25689ddde7ed
66,Vaundy,CHAINSAW BLOOD,https://i.scdn.co/image/ab67616d0000b2737a910ed50c45df3713b5de71,2022-10-12,69,0.528,0.855,0,-5.229,1,0.0953,7.38E-05,1.81E-06,0.281,0.549,146.987,200997,200.997,4,https://p.scdn.co/mp3-preview/88edca295a2d526b4651260a72386e70f0dd2449?cid=133ab60d36dd449d94af25689ddde7ed
67,BTS,Take Two,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,2023-06-09,85,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.00E+00,0.378,0.566,92.991,229953,229.953,4,https://p.scdn.co/mp3-preview/ef43da30a06fcad16898e9fff1cadd0ccf953fc9?cid=133ab60d36dd449d94af25689ddde7ed
68,BE:FIRST,Mainstream,https://i.scdn.co/image/ab67616d0000b273991cf726d025a7a530af6d66,2023-09-13,78,0.901,0.714,10,-3.918,1,0.125,0.246,0.00E+00,0.0529,0.52,100.011,207053,207.053,4,https://p.scdn.co/mp3-preview/edaf6bfa3c6ae5ac23310f493195e1f512f9a04e?cid=133ab60d36dd449d94af25689ddde7ed
69,Jung Kook,3D,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,2023-09-29,95,0.853,0.824,1,-3.287,1,0.103,0.0322,0.00E+00,0.0859,0.888,108.044,201812,201.812,4,https://p.scdn.co/mp3-preview/74f0838fd4469ac28b5fd6be753eb534e52b4810?cid=133ab60d36dd449d94af25689ddde7ed
70,Ado,Tot Musica,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,2022-08-09,63,0.669,0.934,5,-3.948,0,0.0653,0.073,0.00E+00,0.123,0.175,129.974,195227,195.227,4,
71,YOASOBI,祝福,https://i.scdn.co/image/ab67616d0000b273c5993ff2f059a0a5a7f6270b,2022-10-01,74,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08E-05,0.297,0.541,170.045,196235,196.235,4,https://p.scdn.co/mp3-preview/37dc29890d0496887a955af3ad4e4481874243c4?cid=133ab60d36dd449d94af25689ddde7ed
72,OFFICIAL HIGE DANDISM,ホワイトノイズ,https://i.scdn.co/image/ab67616d0000b273c51fc46c18220ed859dab6ed,2023-01-11,66,0.467,0.908,5,-5.831,0,0.0643,0.000582,5.12E-05,0.386,0.477,143.16,254839,254.839,4,https://p.scdn.co/mp3-preview/43c8e5f1191700910aab47c18cac0016d9bbd947?cid=133ab60d36dd449d94af25689ddde7ed
73,The Kid LAROI,Stay,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,2021-07-09,86,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.00E+00,0.103,0.478,169.928,141806,141.806,4,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=133ab60d36dd449d94af25689ddde7ed
74,Ado,逆光 - ウタ from ONE PIECE FILM RED,https://i.scdn.co/image/ab67616d0000b2736ba460b21288fc379f941d60,2022-07-05,65,0.563,0.901,10,-3.926,0,0.11,0.000382,4.81E-06,0.388,0.684,145.004,237862,237.862,4,
75,natori,フライデー・ナイト,https://i.scdn.co/image/ab67616d0000b27306f4831110130abc335f8452,2023-03-31,69,0.633,0.713,5,-5.467,0,0.105,0.236,0.00E+00,0.433,0.927,82.08,175368,175.368,4,https://p.scdn.co/mp3-preview/7edc5bc284ab223dd3a511ebb5c0de75085914ce?cid=133ab60d36dd449d94af25689ddde7ed
76,Ado,踊,https://i.scdn.co/image/ab67616d0000b2730f7bef8299e3738350d6846e,2021-04-27,65,0.707,0.965,1,-0.736,1,0.105,0.15,1.38E-06,0.726,0.777,128.003,208271,208.271,4,
77,RADWIMPS,カナタハルカ,https://i.scdn.co/image/ab67616d0000b273d45a31232e0d93190bdbac64,2022-10-28,58,0.474,0.535,0,-6.566,1,0.0354,0.626,0.00E+00,0.413,0.324,79.95,355707,355.707,4,
78,LiSA,紅蓮華,https://i.scdn.co/image/ab67616d0000b27364c8cf7bc530a05dd10e8efe,2020-10-14,76,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13E-05,0.0796,0.263,134.938,237587,237.587,4,https://p.scdn.co/mp3-preview/f76ce8208d4a829fdc8a1fa568bfbd14a6fb9b6f?cid=133ab60d36dd449d94af25689ddde7ed
79,back number,アイラブユー,https://i.scdn.co/image/ab67616d0000b2735f96f9df056aa682c854e720,2022-10-24,62,0.468,0.624,1,-3.629,1,0.0281,0.296,0.00E+00,0.142,0.462,77.988,235683,235.683,4,
80,Kenshi Yonezu,M八七,https://i.scdn.co/image/ab67616d0000b2739507cc45e17dde8e57a9746f,2022-05-13,61,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23E-05,0.34,0.334,112.013,263120,263.12,4,https://p.scdn.co/mp3-preview/483065e8e36dfdb1b622b0ff0127cdbde9943e21?cid=133ab60d36dd449d94af25689ddde7ed
81,Soushi Sakiyama,燈,https://i.scdn.co/image/ab67616d0000b273e1868ca113d27c6ec22eb823,2023-07-07,76,0.671,0.677,5,-4.849,1,0.0381,0.294,0.00E+00,0.236,0.665,127.08,238720,238.72,4,https://p.scdn.co/mp3-preview/471b18afb6d54cbb7ebc2e111c4547ea19f5626d?cid=133ab60d36dd449d94af25689ddde7ed
82,Fujii Kaze,ガーデン,https://i.scdn.co/image/ab67616d0000b273af62b027ee85ae2e2f7c9702,2022-03-23,74,0.589,0.527,4,-8.332,1,0.0572,0.0932,3.37E-04,0.104,0.576,138.023,229333,229.333,4,
83,back number,怪盗,https://i.scdn.co/image/ab67616d0000b273ae51734d04ef431b65a09a9a,2021-05-24,61,0.636,0.847,7,-2.093,1,0.037,0.407,0.00E+00,0.295,0.8,114.028,196226,196.226,4,
