rank,Artist,Title,Image URL,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_sec,time_signature,Preview URL
4035,Tyga,Feel Me,https://i.scdn.co/image/ab67616d0000b273539130441a2bb1daa95de8e6,2017-07-21,37,0.526,0.591,1,-6.326,1,0.124,0.00358,0.00E+00,0.905,0.157,141.697,199447,199.447,4,https://p.scdn.co/mp3-preview/0a015ec19e49e72d685b0cfc8de0443f46d44e97?cid=133ab60d36dd449d94af25689ddde7ed
4036,DNCE,Be Mean,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,2016-11-18,43,0.7,0.748,9,-5.123,1,0.0707,0.0552,0.00E+00,0.0676,0.522,93.996,211240,211.24,4,
4037,Little Glee Monster,Hop Step Jump!,https://i.scdn.co/image/ab67616d0000b273ba404778a5b2953d1c26385b,2017-01-06,22,0.662,0.949,8,-3.395,1,0.0679,0.225,0.00E+00,0.33,0.728,127.015,251920,251.92,4,https://p.scdn.co/mp3-preview/c90613d10652c9f8bacb39ce8ba6700ec3cf9fc2?cid=133ab60d36dd449d94af25689ddde7ed
4038,Nerd Magnet,YOU & I,https://i.scdn.co/image/ab67616d0000b2731dc4630fcb0b02b27fc766d9,2016-05-11,8,0.505,0.885,4,-1.983,1,0.045,0.000866,0.00E+00,0.368,0.635,120.876,171067,171.067,4,https://p.scdn.co/mp3-preview/c8ffffec68c0fbf08d3c2df1be16dc9ddc73cc6e?cid=133ab60d36dd449d94af25689ddde7ed
4039,Dramatic Alaska,TEPPEN,https://i.scdn.co/image/ab67616d0000b27322a298b73f9569e96c7a242a,2016-12-07,20,0.558,0.938,10,-2.544,1,0.0358,0.000122,1.42E-04,0.232,0.906,103.031,217720,217.72,4,https://p.scdn.co/mp3-preview/453ca3a6f8b70e903f52795bee038d386e6a099a?cid=133ab60d36dd449d94af25689ddde7ed
4040,miwa,chAngE,https://i.scdn.co/image/ab67616d0000b2734445d9ab197cce43924866cc,2011-04-06,59,0.442,0.973,7,-2.01,1,0.156,0.0268,0.00E+00,0.108,0.635,164.852,249747,249.747,4,https://p.scdn.co/mp3-preview/f1c3c9cf13f6f09f8488356d76e526b523d819d5?cid=133ab60d36dd449d94af25689ddde7ed
4041,Kings of Leon,Waste A Moment,https://i.scdn.co/image/ab67616d0000b27353aad61053bd83196f4559fc,2016-10-14,71,0.436,0.85,2,-4.86,1,0.0617,0.000861,7.40E-01,0.128,0.537,152.644,183093,183.093,4,https://p.scdn.co/mp3-preview/6857fd65b39c9d364f242d15a9f654a20b95ba0b?cid=133ab60d36dd449d94af25689ddde7ed
4042,Son Little,Lay Down,https://i.scdn.co/image/ab67616d0000b273d090f49c5ca5b15746c4bc91,2015-10-16,54,0.467,0.257,5,-10.123,1,0.0314,0.775,0.00E+00,0.118,0.255,106.605,228000,228,3,https://p.scdn.co/mp3-preview/5e717f7e3ec670e59fe6a043e263f525d093d953?cid=133ab60d36dd449d94af25689ddde7ed
4043,Prince,Purple Rain,https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b,1984-06-25,76,0.367,0.452,10,-10.422,1,0.0307,0.0353,2.28E-03,0.689,0.189,113.066,520787,520.787,4,https://p.scdn.co/mp3-preview/0f35470724b760a0d96d34e7be3fe8ddb6dcd6f4?cid=133ab60d36dd449d94af25689ddde7ed
4044,Nelly Furtado,Cold Hard Truth,https://i.scdn.co/image/ab67616d0000b273d9755db61a345563eec85ee0,2017-03-31,21,0.77,0.362,5,-8.31,1,0.0783,0.00229,9.78E-04,0.163,0.668,98.073,174000,174,4,https://p.scdn.co/mp3-preview/a3d7d4682d1eb49257623cb6225af1289ba241f4?cid=133ab60d36dd449d94af25689ddde7ed
4045,TLC,Haters,https://i.scdn.co/image/ab67616d0000b2736dbe95468a8914e47ba1fa2c,2016-10-26,14,0.585,0.681,7,-5.848,1,0.0762,0.0585,0.00E+00,0.16,0.257,114.906,160400,160.4,5,https://p.scdn.co/mp3-preview/26d173cfc8be6b2598877c8ece915873abc34bd2?cid=133ab60d36dd449d94af25689ddde7ed
4046,John Legend,God Only Knows,https://i.scdn.co/image/ab67616d0000b27363977157a547c29463fc1cd1,2017-02-13,43,0.272,0.158,9,-9.829,1,0.0319,0.943,7.59E-05,0.158,0.24,83.385,201800,201.8,4,https://p.scdn.co/mp3-preview/c93d2c7f8a703a8828c0c6e679418bb1f57ac446?cid=133ab60d36dd449d94af25689ddde7ed
4047,OneRepublic,Future Looks Good,https://i.scdn.co/image/ab67616d0000b273eedabed826eeb6506a4c700d,2016-12-02,52,0.33,0.548,10,-7.922,1,0.0426,0.214,1.21E-05,0.12,0.559,78.594,210587,210.587,3,
4048,AK-69,Dawn,https://i.scdn.co/image/ab67616d0000b2733243262e3205be62dec30a0c,2016-11-23,21,0.547,0.631,8,-6.36,1,0.0901,0.197,0.00E+00,0.12,0.223,83.994,208787,208.787,4,
4049,Travie McCoy,Billionaire,https://i.scdn.co/image/ab67616d0000b2732780cc9f7796e04f367e394d,2010-06-07,75,0.633,0.673,6,-6.403,0,0.258,0.297,0.00E+00,0.206,0.659,86.776,211160,211.16,4,https://p.scdn.co/mp3-preview/02f41843308e75503161cfce28114902b9e072fa?cid=133ab60d36dd449d94af25689ddde7ed
4050,Suchmos,Pacific,https://i.scdn.co/image/ab67616d0000b273a9aa4ed18522325b82c03507,2015-07-08,31,0.884,0.419,9,-8.013,0,0.0461,0.459,1.91E-04,0.0888,0.771,93.021,317653,317.653,4,https://p.scdn.co/mp3-preview/0836222e59cd9cfd07de74ff953a981022308238?cid=133ab60d36dd449d94af25689ddde7ed
4051,Wham!,Club Tropicana,https://i.scdn.co/image/ab67616d0000b27334229e11a2146f96d6956044,1983-07-09,67,0.658,0.714,11,-9.247,1,0.0519,0.0294,5.70E-05,0.651,0.806,117.283,265600,265.6,4,https://p.scdn.co/mp3-preview/f477cb40f0f776da1fe797e0b32e1c8c7fc881be?cid=133ab60d36dd449d94af25689ddde7ed
4052,Metallica,"Atlas, Rise!",https://i.scdn.co/image/ab67616d0000b2737b10c20f959932a6c790c074,2016-11-18,50,0.416,0.994,4,-3.354,0,0.0609,2.93E-05,2.99E-02,0.0704,0.434,95.205,388625,388.625,4,
4053,The Mouseketeers,Mickey Mouse March,https://i.scdn.co/image/ab67616d0000b273c593e0957a5010065d4994bd,2013-12-04,22,0.702,0.8,3,-6.576,1,0.244,0.853,5.47E-04,0.65,0.812,130.963,161307,161.307,4,
4054,The Chainsmokers,Closer - R3hab Remix,https://i.scdn.co/image/ab67616d0000b273f360970a0bbb0cc1dcad6147,2016-09-23,55,0.775,0.559,8,-5.89,1,0.0417,0.081,0.00E+00,0.219,0.408,100.042,161120,161.12,4,https://p.scdn.co/mp3-preview/e14f826b6fe32b7bf979d453f26933b0546c686e?cid=133ab60d36dd449d94af25689ddde7ed
4055,SHE'S,Freedom,https://i.scdn.co/image/ab67616d0000b2733f0044ac4fdccb8225eb117a,2017-01-23,14,0.43,0.902,4,-4.776,1,0.0487,0.000102,3.20E-02,0.0965,0.566,166.946,221080,221.08,4,
4056,R3HAB,Icarus,https://i.scdn.co/image/ab67616d0000b273b4af35119fe105006de8d489,2017-09-15,40,0.809,0.859,1,-4.492,0,0.12,0.0208,6.87E-05,0.389,0.509,121.912,192256,192.256,4,https://p.scdn.co/mp3-preview/d054313d1b2a5ff32f2da571064f0eacec942f19?cid=133ab60d36dd449d94af25689ddde7ed
4057,George Michael,Father Figure - Remastered,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956,1987-10-30,66,0.689,0.333,3,-13.288,1,0.0262,0.163,3.36E-05,0.0853,0.284,101.988,336667,336.667,4,https://p.scdn.co/mp3-preview/c4505ce3af65c50d3122718fe0fecc2e287c8de1?cid=133ab60d36dd449d94af25689ddde7ed
4058,Jess Glynne,Hold My Hand,https://i.scdn.co/image/ab67616d0000b273bc565f64f315d57dffa4b91d,2015-02-24,62,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.00E+00,0.0776,0.431,122.977,227344,227.344,4,https://p.scdn.co/mp3-preview/3c2add27d21cd7e50502dcc5261630dad106bcae?cid=133ab60d36dd449d94af25689ddde7ed
4059,Sean Paul,No Lie,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,2018-06-29,84,0.742,0.882,7,-2.862,1,0.117,0.0466,0.00E+00,0.206,0.463,102.04,221176,221.176,4,
4060,Kungs,I Feel So Bad,https://i.scdn.co/image/ab67616d0000b273af72d0856c5527dc97f3ea08,2016-11-04,65,0.762,0.821,9,-4.17,0,0.0389,0.205,4.19E-04,0.259,0.769,122.999,206960,206.96,4,
4061,"She, in the haze",Claudia,https://i.scdn.co/image/ab67616d0000b273f2fea9112b010331acbd4c74,2017-10-18,6,0.469,0.971,10,-6.777,1,0.0487,6.48E-05,8.42E-02,0.151,0.414,127.981,290000,290,4,https://p.scdn.co/mp3-preview/09b8c376e690eb316191f604a7236bbbfc2e189d?cid=133ab60d36dd449d94af25689ddde7ed
4062,Chris Brown,Grass Ain't Greener,https://i.scdn.co/image/ab67616d0000b273af236a3219d347662cb4a284,2017-10-31,66,0.651,0.601,10,-5.097,0,0.0497,0.39,0.00E+00,0.0882,0.512,133.954,201422,201.422,4,https://p.scdn.co/mp3-preview/8e30b32e2c6bf014de332227aefc1a8be91cb4e2?cid=133ab60d36dd449d94af25689ddde7ed
4063,Mike Posner,In The Arms Of A Stranger - Grey Remix,https://i.scdn.co/image/ab67616d0000b2730f3a38330c2c3b32b1e98c48,2017-02-17,44,0.763,0.839,0,-3.437,1,0.117,0.429,0.00E+00,0.109,0.655,104.977,212627,212.627,4,
4064,Cheat Codes,Queen Elizabeth,https://i.scdn.co/image/ab67616d0000b2735a881f7a045d7d69076d723f,2016-11-04,37,0.551,0.706,7,-5.249,1,0.0406,0.0249,0.00E+00,0.0884,0.4,99.413,199393,199.393,4,https://p.scdn.co/mp3-preview/a93d1894fe434ee0177f99f57c65519371e232d4?cid=133ab60d36dd449d94af25689ddde7ed
4065,State of Sound,Wake Up Where You Are,https://i.scdn.co/image/ab67616d0000b273bb62bd19d2526cdac1e665ac,2016-09-30,45,0.706,0.674,9,-6.977,1,0.0337,0.11,6.26E-04,0.0784,0.545,113.956,207307,207.307,4,https://p.scdn.co/mp3-preview/553a6a60cfe2d1cbf5e231bc32036f43869d1e1e?cid=133ab60d36dd449d94af25689ddde7ed
4066,negoto,ETERNALBEAT,https://i.scdn.co/image/ab67616d0000b2739f8aaa23035596c5c0017542,2017-02-01,18,0.614,0.779,2,-4.871,1,0.0349,0.00925,2.02E-06,0.153,0.708,125.966,217840,217.84,4,https://p.scdn.co/mp3-preview/0d7a717775734a1b871b32653a40cf032b49976c?cid=133ab60d36dd449d94af25689ddde7ed
4067,LiSA,Rising Hope,https://i.scdn.co/image/ab67616d0000b27365550b92a7d7483f8042f327,2015-03-04,59,0.547,0.978,8,-2.732,1,0.254,0.0626,0.00E+00,0.0735,0.647,94.703,251213,251.213,4,https://p.scdn.co/mp3-preview/3de7a1f5f00308e38d26cdc1ddb2c63681d59223?cid=133ab60d36dd449d94af25689ddde7ed
